Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,emailed
2026-08-15,MarketingKiezer,https://marketingkiezer.nl,"info@marketingkiezer.nl, jan@bedrijf.nl",,unverified,7476940,,new
2026-08-13,Rentech Digital,https://rentechdigital.com,"hdhameliya9925@gmail.com, team@rentechdigital.com, payments@rentechdigital.com","hdhameliya9925@gmail.com, team@rentechdigital.com, payments@rentechdigital.com",valid,+1(760)389-9794,,emailed
2026-08-22,Website laten maken – Roland Brugman | Webdesign & Development,https://rolandbrugman.com,"brugmanroland@gmail.com, jouw@email.nl",brugmanroland@gmail.com,valid,2518303,,emailed
2026-08-20,043WEB,https://seomaastricht.nl,info@043web.nl,,invalid,234 0001,,new
2026-08-20,Tixer Web,https://tixerweb.com,info@tixerweb.com,,unverified,0791492680,,new
2026-08-15,Trustoo - Vind de beste bedrijven voor jou,https://trustoo.nl,"klantenservice@trustoo.nl, info@trustoo.nl, naam@voorbeeld.nl","klantenservice@trustoo.nl, info@trustoo.nl",catch_all,,,emailed
2026-08-20,Webdesign Maastricht | Le Tigre Webdesign,https://webdesign-service.nl,"contact@webdesign-holland.com, contact@webdesign-service.nl, cointact@webdesign-holland.com, beheer@letigre.nl",,unverified,5745981,,new
2026-08-20,043WEB,https://webdesignmaastricht.com,info@043web.nl,,invalid,234 0001,,new
2026-09-23,Webdesign Limburg | Maatwerk Websites – Gosidesign,https://www.gosidesign.nl,info@gosidesign.nl,info@gosidesign.nl,catch_all,932 7400,,new
2026-08-15,Hostingradar,https://www.hostingradar.io,info@hostingradar.nl,,unverified,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,emailed
2026-08-20,Stoere Binken Design,https://www.stoerebinken.nl,"rene@stoerebinken.nl, info@jouwbedrijf.nl",,unverified,995-2026,,new
2026-08-15,Web Design Awards,https://www.webdesignawards.io,"you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io","you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io",catch_all,,,emailed
